AppTimestamp(s),GEOTECWIFI03,480Invitados,eduroam,wpen-uji,lt1iot,cuatroochenta,UJI,Latitude,Longitude,Label
210.0,-94.0,-90.5,-80.25,-94.0,-94.0,-89.5,-83.0,0.0,0.6,0.0
215.0,-94.0,-90.5,-80.25,-94.0,-94.0,-89.5,-83.0,0.0,0.6,0.0
220.0,-94.0,-90.5,-80.25,-94.0,-94.0,-89.5,-83.0,0.0,0.6,0.0
225.0,-94.0,-90.5,-80.25,-94.0,-94.0,-89.5,-83.0,0.0,0.6,0.0
230.0,-94.0,-90.5,-80.25,-94.0,-94.0,-89.5,-83.0,0.0,0.6,0.0
235.0,-94.0,-90.5,-80.25,-94.0,-94.0,-89.5,-83.0,0.0,0.6,0.0
240.0,-94.0,-90.73333333333333,-81.16666666666667,-94.0,-94.0,-89.8,-83.73333333333333,0.0,0.6,0.0
245.0,-92.93333333333334,-91.2,-81.85555555555555,-94.0,-94.0,-90.4,-84.15,0.0,0.6,0.0
250.0,-90.83333333333333,-91.66666666666667,-81.54444444444444,-94.0,-94.0,-91.0,-83.86666666666666,0.0,0.6,0.0
255.0,-87.73333333333333,-92.36666666666666,-81.29444444444444,-94.0,-94.0,-91.9,-83.96666666666667,0.0,0.6,0.0
260.0,-85.66666666666667,-92.83333333333333,-81.12777777777777,-94.0,-94.0,-92.5,-84.03333333333333,0.0,0.6,0.0
265.0,-82.56666666666666,-93.53333333333333,-80.87777777777777,-94.0,-94.0,-93.4,-84.13333333333334,0.0,0.6,0.0
270.0,-80.5,-93.76666666666667,-79.79444444444444,-94.0,-94.0,-93.7,-83.46666666666667,0.0,0.6,0.0
275.0,-78.46666666666667,-94.0,-78.85555555555555,-94.0,-94.0,-94.0,-83.15,0.0,0.6,0.0
280.0,-78.5,-94.0,-79.0,-94.0,-94.0,-94.0,-83.5,0.0,0.6,0.0
285.0,-78.5,-94.0,-79.0,-94.0,-94.0,-94.0,-83.5,0.0,0.6,0.0
290.0,-78.5,-94.0,-79.0,-94.0,-94.0,-94.0,-83.5,0.0,0.6,0.0
295.0,-78.5,-94.0,-79.0,-94.0,-94.0,-94.0,-83.5,0.0,0.6,0.0
300.0,-78.5,-94.0,-79.0,-94.0,-94.0,-94.0,-83.5,0.0,0.6,0.0
305.0,-78.5,-94.0,-79.0,-94.0,-94.0,-94.0,-83.5,0.0,0.6,0.0
310.0,-78.5,-94.0,-79.0,-94.0,-94.0,-94.0,-83.5,0.0,0.6,0.0
315.0,-78.5,-94.0,-79.0,-94.0,-94.0,-94.0,-83.5,0.0,0.6,0.0
320.0,-78.5,-94.0,-79.0,-94.0,-94.0,-94.0,-83.5,0.0,0.6,0.0
325.0,-78.5,-94.0,-79.0,-94.0,-94.0,-94.0,-83.5,0.0,0.6,0.0
330.0,-78.5,-94.0,-79.0,-94.0,-94.0,-94.0,-83.5,0.0,0.6,0.0
335.0,-78.5,-94.0,-79.0,-94.0,-94.0,-94.0,-83.5,0.0,0.6,0.0
340.0,-78.5,-94.0,-79.0,-94.0,-94.0,-94.0,-83.5,0.0,0.6,0.0
345.0,-78.5,-94.0,-79.0,-94.0,-94.0,-94.0,-83.5,0.0,0.6,0.0
350.0,-78.5,-94.0,-79.0,-94.0,-94.0,-94.0,-83.5,0.0,0.6,0.0
355.0,-78.5,-94.0,-79.0,-94.0,-94.0,-94.0,-83.5,0.0,0.6,0.0
360.0,-79.53333333333333,-94.0,-80.0,-94.0,-94.0,-94.0,-84.2,0.0,0.6,0.0
365.0,-81.6,-94.0,-80.26666666666667,-94.0,-94.0,-94.0,-83.78666666666668,0.0,0.6,0.0
370.0,-83.66666666666667,-94.0,-82.26666666666667,-94.0,-94.0,-94.0,-85.18666666666667,0.0,0.6,0.0
375.0,-84.36666666666666,-94.0,-81.6,-94.0,-94.0,-94.0,-83.89666666666666,0.0,0.6,0.0
380.0,-84.83333333333333,-94.0,-81.73333333333333,-94.0,-94.0,-94.0,-83.6411111111111,0.0,0.6,0.0
385.0,-85.53333333333333,-94.0,-81.93333333333334,-94.0,-94.0,-94.0,-83.25777777777778,0.0,0.6,0.0
390.0,-84.96666666666667,-94.0,-81.06666666666666,-94.0,-94.0,-94.0,-82.30222222222223,0.0,0.6,0.0
395.0,-83.6,-94.0,-81.0,-94.0,-94.0,-94.0,-82.33222222222221,0.0,0.6,0.0
400.0,-82.0,-94.0,-79.13333333333334,-94.0,-94.0,-94.0,-80.67666666666666,0.0,0.6,0.0
405.0,-82.0,-94.0,-80.0,-94.0,-94.0,-94.0,-81.58333333333331,0.0,0.6,0.0
410.0,-82.0,-94.0,-80.0,-94.0,-94.0,-94.0,-81.58333333333333,0.0,0.6,0.0
415.0,-82.0,-94.0,-80.0,-94.0,-94.0,-94.0,-81.58333333333331,0.0,0.6,0.0
420.0,-82.0,-94.0,-80.0,-94.0,-94.0,-94.0,-81.58333333333333,0.0,0.6,0.0
425.0,-82.0,-94.0,-80.0,-94.0,-94.0,-94.0,-81.58333333333331,0.0,0.6,0.0
430.0,-82.0,-94.0,-80.0,-94.0,-94.0,-94.0,-81.58333333333333,0.0,0.6,0.0
