Model,n_repeat,Mean_Euclidean_Dist,RMSE,MSE,MAE
WcGAN-GP (SYN)-RF,7,5.04474593918499,3.8886448417231576,15.121558705060123,3.2056406392065018
cGAN (SYN)-KNN,8,4.814401964626188,3.861316327105331,14.909763777970202,3.0587952886072456
cGAN (SYN)-RF,8,4.484326262476271,3.4596037989052335,11.968858445399523,2.850726071084173
WcGAN (SYN)-KNN,8,5.3204218372388015,4.067463993342551,16.544263337138133,3.342983193277311
WcGAN (SYN)-RF,8,4.880291532150767,3.8261166668762976,14.63916874854859,3.1242453368232526
WcGAN-GP (SYN)-KNN,8,5.176534211767854,4.005631825862908,16.045086324365812,3.251493318638931
WcGAN-GP (SYN)-RF,8,4.836396031417985,3.687727166813414,13.599331656853689,3.107831278413008
cGAN (SYN)-KNN,9,5.53070989728737,4.27502908642781,18.275873689803795,3.436944482711117
cGAN (SYN)-RF,9,4.839870594919169,3.6796210267681495,13.53961090063429,3.0385765119162413
WcGAN (SYN)-KNN,9,5.503122727027651,4.220588402731856,17.813366465274637,3.4571869403499105
WcGAN (SYN)-RF,9,4.898717875258686,3.747592792835512,14.044451740912674,3.187319127979062
WcGAN-GP (SYN)-KNN,9,4.565471813613468,3.6056277708094413,13.00055162163226,2.8915780410524863
WcGAN-GP (SYN)-RF,9,5.119606424159114,3.919264415651414,15.360633559791417,3.259279432428711
