Model,Label,Learning Rate,N Critic,Clip Value,Gradient Penalty,Kullback-Leibler Divergence,Inception Score
CGAN,cuatroochenta,0.005,,,,12.75190036671686,908.6618239919467
CGAN,UJI,0.005,,,,11.339196481769362,804.5529551390496
WCGAN,GEOTECWIFI03,5e-05,1.0,0.001,,0.02147228450737381,797.5504305271014
WCGAN,480Invitados,5e-05,1.0,0.001,,0.1549588939872593,670.7110365617291
WCGAN,eduroam,5e-05,1.0,0.001,,0.015271933264747177,554.6760902009803
WCGAN,wpen-uji,5e-05,1.0,0.001,,0.39593243056423666,738.4468451367648
WCGAN,lt1iot,5e-05,1.0,0.001,,0.4963977184749033,803.1709022068083
WCGAN,cuatroochenta,5e-05,1.0,0.001,,0.13722631558226955,656.8257978655973
WCGAN,UJI,5e-05,1.0,0.001,,0.008698652210629067,561.758153242874
WCGAN,GEOTECWIFI03,5e-05,1.0,0.005,,0.22572528271193693,1349.2181749026474
WCGAN,480Invitados,5e-05,1.0,0.005,,0.3394678308872414,1130.0012289069305
WCGAN,eduroam,5e-05,1.0,0.005,,0.27138792767345704,1119.467453672785
WCGAN,wpen-uji,5e-05,1.0,0.005,,0.4439372874612756,1200.1694168544193
WCGAN,lt1iot,5e-05,1.0,0.005,,0.6369063793599675,1223.8775863818244
WCGAN,cuatroochenta,5e-05,1.0,0.005,,0.33661453408223785,1204.551873456146
WCGAN,UJI,5e-05,1.0,0.005,,0.20546009740296528,1137.283433619599
WCGAN,GEOTECWIFI03,5e-05,1.0,0.01,,0.14710628537647893,722.5120468487783
WCGAN,480Invitados,5e-05,1.0,0.01,,0.2274594799220345,816.0455930389319
WCGAN,eduroam,5e-05,1.0,0.01,,0.17356797952554387,690.0654583826673
WCGAN,wpen-uji,5e-05,1.0,0.01,,0.4351681351023889,875.5315750835554
WCGAN,lt1iot,5e-05,1.0,0.01,,0.6010285747447197,856.6668923844734
WCGAN,cuatroochenta,5e-05,1.0,0.01,,0.2058861818996686,783.8429825835801
WCGAN,UJI,5e-05,1.0,0.01,,0.13042827674857863,749.2244767408272
WCGAN,GEOTECWIFI03,5e-05,1.0,0.05,,0.09154406834896883,865.143961465968
WCGAN,480Invitados,5e-05,1.0,0.05,,0.3602120032365661,500.13656847889933
WCGAN,eduroam,5e-05,1.0,0.05,,0.008454080352019402,727.894577514236
WCGAN,wpen-uji,5e-05,1.0,0.05,,1.0333840793367464,658.2169884020568
WCGAN,lt1iot,5e-05,1.0,0.05,,0.9116616088153162,795.6774478289756
WCGAN,cuatroochenta,5e-05,1.0,0.05,,0.737014293096207,531.8246945755855
WCGAN,UJI,5e-05,1.0,0.05,,0.007030291055565949,632.707082003051
WCGAN,GEOTECWIFI03,5e-05,1.0,0.1,,0.18569450114485447,927.4884367032685
WCGAN,480Invitados,5e-05,1.0,0.1,,0.13339338855469862,472.4165882273545
WCGAN,eduroam,5e-05,1.0,0.1,,0.010886865042971754,416.1085347069613
WCGAN,wpen-uji,5e-05,1.0,0.1,,0.5464354462555214,601.4973362996374
WCGAN,lt1iot,5e-05,1.0,0.1,,0.4038819098318758,775.5422666258208
WCGAN,cuatroochenta,5e-05,1.0,0.1,,0.2047974622913498,518.7190214996873
WCGAN,UJI,5e-05,1.0,0.1,,0.0064744370891389735,603.6578030291229
WCGAN,GEOTECWIFI03,5e-05,2.0,0.001,,0.04613280440706713,1276.5236494789424
WCGAN,480Invitados,5e-05,2.0,0.001,,0.1545814506422505,1096.3738261763242
WCGAN,eduroam,5e-05,2.0,0.001,,0.032478625274097485,1239.0821871688863
WCGAN,wpen-uji,5e-05,2.0,0.001,,0.3937635547266951,1134.2924496596313
WCGAN,lt1iot,5e-05,2.0,0.001,,0.537302761985157,1252.380157756567
WCGAN,cuatroochenta,5e-05,2.0,0.001,,0.14236412216489663,1100.8502105034877
WCGAN,UJI,5e-05,2.0,0.001,,0.022729529753920064,1268.8730497837953
WCGAN,GEOTECWIFI03,5e-05,2.0,0.005,,0.05337451655667279,1426.5226507267216
WCGAN,480Invitados,5e-05,2.0,0.005,,0.23853712990272108,1382.4438799037089
WCGAN,eduroam,5e-05,2.0,0.005,,0.06370069895942462,1429.2316238114945
WCGAN,wpen-uji,5e-05,2.0,0.005,,0.49803865773975187,1449.9211005572602
WCGAN,lt1iot,5e-05,2.0,0.005,,0.5682457964234173,1438.1006942459996
WCGAN,cuatroochenta,5e-05,2.0,0.005,,0.23746711843285995,1409.6463619788524
WCGAN,UJI,5e-05,2.0,0.005,,0.06981388481325136,1458.5778257695981
WCGAN,GEOTECWIFI03,5e-05,2.0,0.01,,0.24309368172013046,787.4662405599873
WCGAN,480Invitados,5e-05,2.0,0.01,,0.23118636861324166,538.3263329750324
WCGAN,eduroam,5e-05,2.0,0.01,,0.2949517247765734,469.33685883703686
WCGAN,wpen-uji,5e-05,2.0,0.01,,0.43482061535572913,676.7423156158433
WCGAN,lt1iot,5e-05,2.0,0.01,,0.6818397165223685,694.8245159193791
WCGAN,cuatroochenta,5e-05,2.0,0.01,,0.22525965027843192,598.9559701760401
WCGAN,UJI,5e-05,2.0,0.01,,0.23307199743605386,461.7880071010269
WCGAN,GEOTECWIFI03,5e-05,2.0,0.05,,0.030552474001487768,733.6842810523129
WCGAN,480Invitados,5e-05,2.0,0.05,,0.26415244966629237,569.4230050655814
