Model,n_repeat,id_coord,Mean_Euclidean_Dist,RMSE,MSE,MAE
cGAN (DA)-KNN,7,0,5.180456709887039,4.4552284327618565,19.849060388089672,3.4040515222482446
cGAN (DA)-KNN,7,1,3.6001835984148225,3.761194238674352,14.146582101037138,2.2028571428571424
cGAN (DA)-KNN,7,2,6.7005549572176415,4.73800784796173,22.448718367346938,4.491428571428571
cGAN (DA)-KNN,7,3,6.619929768375511,4.71714090140489,22.251418283706936,4.339355971896956
cGAN (DA)-KNN,7,4,4.945998745600078,3.5934772792064007,12.913078956172635,2.680046838407495
cGAN (DA)-KNN,7,5,5.563933419986334,3.9342950513427972,15.478677551020423,3.934285714285717
cGAN (DA)-KNN,7,6,2.524935014584396,2.0299318590267355,4.120623352291738,1.6618735362997652
cGAN (DA)-KNN,7,7,3.1879890023136843,2.2567335175619174,5.092846169287385,2.1991334894613583
cGAN (DA)-KNN,7,8,5.2632679666686295,3.9619290672293856,15.69688193375711,3.00112412177986
cGAN (DA)-KNN,7,9,3.9690527323073854,2.8065441019015482,7.8766897959183675,2.3185714285714276
cGAN (DA)-KNN,7,10,2.850578574539292,2.138029714610012,4.571171060555369,1.8998360655737696
cGAN (DA)-KNN,7,11,0.8357142857142845,0.5909392385630426,0.34920918367346865,0.5464285714285709
cGAN (DA)-KNN,7,12,3.332439392649425,2.52568818071751,6.379100786216125,2.1446487119437943
cGAN (DA)-KNN,7,13,1.833489480054193,1.2964728445805167,1.680841836734697,1.2964285714285726
cGAN (DA)-KNN,7,14,6.9900439432901305,4.987470257396783,24.87485956841753,4.7467798594847785
cGAN (DA)-KNN,7,15,6.312108892792303,4.5401937477726095,20.613359267313495,3.762822014051524
cGAN (DA)-KNN,7,16,6.97861332243015,4.983432083703686,24.834595332887265,4.167857142857143
cGAN (DA)-RF,7,0,5.162985247249903,3.760349921619404,14.140231533023057,3.0881094931415225
cGAN (DA)-RF,7,1,6.184776709151867,4.601625066179238,21.17495324968908,4.049425342924049
cGAN (DA)-RF,7,2,7.336237563841032,5.18750332978747,26.910190796556083,5.139160714285712
cGAN (DA)-RF,7,3,3.70384145594447,2.9815921296136083,8.889891627373812,2.421486985613924
cGAN (DA)-RF,7,4,4.17625552797482,3.1837728662121005,10.136409663628413,2.3793017062562485
cGAN (DA)-RF,7,5,2.0838315714479556,1.4734914350214685,2.1711770090816267,1.4174785714285691
cGAN (DA)-RF,7,6,2.1441412799023367,1.713005053742089,2.934386314145937,1.3851204514997157
cGAN (DA)-RF,7,7,5.164900594528314,3.6561548375983492,13.36746819649381,2.924688056206091
cGAN (DA)-RF,7,8,6.870686569976731,4.871799670364024,23.734432028159016,4.366720546169289
cGAN (DA)-RF,7,9,3.673821947209199,2.59778441174359,6.748483849897991,2.5776642857142917
cGAN (DA)-RF,7,10,2.3019916292509564,1.7867269032217048,3.1923930266962235,1.5212878805620476
cGAN (DA)-RF,7,11,3.9934444689684607,2.8237916642995105,7.973799363367399,2.4485785714285817
cGAN (DA)-RF,7,12,5.264505183790389,3.7520478454407717,14.077863034476739,3.1189481933757075
cGAN (DA)-RF,7,13,0.08315403459477812,0.05879878174498837,0.0034572967346947776,0.05318571428570262
cGAN (DA)-RF,7,14,6.360377717444836,4.546701589755817,20.672495346288073,4.402003629976585
cGAN (DA)-RF,7,15,7.888125839174253,5.643315772774872,31.847012911249646,5.157017915690872
cGAN (DA)-RF,7,16,7.022139607918044,5.000923422357945,25.009235076288306,4.759498895951817
WcGAN (DA)-KNN,7,0,5.066650467008119,4.135782121975842,17.104693760455,3.3459836065573785
WcGAN (DA)-KNN,7,1,3.5925035069787925,3.73250595927617,13.93160073603212,2.2408665105386416
WcGAN (DA)-KNN,7,2,6.6622059225981625,4.71089098553034,22.192493877551016,4.470000000000001
WcGAN (DA)-KNN,7,3,6.617901732111982,4.716207267529468,22.242610990297766,4.338302107728338
WcGAN (DA)-KNN,7,4,4.945998745600078,3.5934772792064007,12.913078956172635,2.680046838407495
WcGAN (DA)-KNN,7,5,5.563933419986334,3.9342950513427972,15.478677551020423,3.934285714285717
WcGAN (DA)-KNN,7,6,2.485275404016427,2.0040578940798315,4.016248042823689,1.6595550351288058
WcGAN (DA)-KNN,7,7,3.7657840046886197,2.6786697312172407,7.175271528939444,2.305995316159251
WcGAN (DA)-KNN,7,8,5.867225217737046,4.276100446485981,18.285035028437605,3.4898360655737704
WcGAN (DA)-KNN,7,9,3.9690527323073854,2.8065441019015482,7.8766897959183675,2.3185714285714276
WcGAN (DA)-KNN,7,10,2.850578574539292,2.138029714610012,4.571171060555369,1.8998360655737696
WcGAN (DA)-KNN,7,11,0.8357142857142845,0.5909392385630426,0.34920918367346865,0.5464285714285709
WcGAN (DA)-KNN,7,12,3.332439392649425,2.52568818071751,6.379100786216125,2.1446487119437943
WcGAN (DA)-KNN,7,13,1.833489480054193,1.2964728445805167,1.680841836734697,1.2964285714285726
WcGAN (DA)-KNN,7,14,6.962758969876229,4.98735603207744,24.87372019069923,4.723454332552692
WcGAN (DA)-KNN,7,15,6.574730512547876,4.699797312742664,22.08809478086317,4.079227166276348
WcGAN (DA)-KNN,7,16,6.968703721917984,4.976007682773048,24.760652459016402,4.160023419203747
WcGAN (DA)-RF,7,0,5.175062463931197,3.772970254285347,14.235304539722035,3.218510417363668
WcGAN (DA)-RF,7,1,6.382821329256045,4.719844148409834,22.276928785278553,4.118076262964195
WcGAN (DA)-RF,7,2,6.79166615390674,4.802433192982612,23.06336457306117,4.7848285714285685
WcGAN (DA)-RF,7,3,3.847771117422014,3.059225470044827,9.358860476570992,2.4818570048511273
WcGAN (DA)-RF,7,4,3.696275795666999,2.956019381978668,8.738050586633547,2.297921160923377
WcGAN (DA)-RF,7,5,1.1346985611579208,0.8023530471973844,0.6437704123469282,0.7873499999999922
WcGAN (DA)-RF,7,6,2.269962656756215,1.831063745448409,3.3527944398955563,1.4317924431247897
WcGAN (DA)-RF,7,7,4.841762345746973,3.4250204392871817,11.73076500953496,2.5188871194379328
WcGAN (DA)-RF,7,8,6.476208821461911,4.591344107448862,21.080440713005387,4.046344283205089
WcGAN (DA)-RF,7,9,3.6650530885705956,2.591583892336968,6.716307071020429,2.5896857142857184
WcGAN (DA)-RF,7,10,2.4606056636514957,1.9069780102422005,3.6365651315473024,1.655517593676804
WcGAN (DA)-RF,7,11,4.669735702436731,3.302001781541936,10.903215765306117,3.2470714285714273
WcGAN (DA)-RF,7,12,5.264363121530709,3.7412433207081506,13.996901584743348,3.1315340414854407
WcGAN (DA)-RF,7,13,0.10752823312337488,0.07603394281054629,0.005781160459317423,0.06940331632653816
WcGAN (DA)-RF,7,14,6.5192566820632605,4.6877469214189,21.974971199272378,4.506437353629982
WcGAN (DA)-RF,7,15,8.79052999960873,6.222870269252567,38.724114387947516,5.5997560889929785
WcGAN (DA)-RF,7,16,7.198195267381103,5.125513165418183,26.270885208875125,4.8939216293074566
WcGAN-GP (DA)-KNN,7,0,5.1705564442510905,4.45130577862583,19.814123134827707,3.4026814988290406
WcGAN-GP (DA)-KNN,7,1,3.590919329319055,3.7502448096738674,14.064336132485783,2.20327868852459
WcGAN-GP (DA)-KNN,7,2,6.719749904238268,4.751580725164533,22.577519387755103,4.502142857142857
WcGAN-GP (DA)-KNN,7,3,6.615686005316264,4.714603060428007,22.22748201739713,4.335843091334896
WcGAN-GP (DA)-KNN,7,4,4.649639886591069,3.4254228810007548,11.73352191368351,2.47032786885246
WcGAN-GP (DA)-KNN,7,5,3.6658868682233297,2.5921734635834315,6.719363265306123,2.5457142857142863
WcGAN-GP (DA)-KNN,7,6,2.5764102102956126,2.0683846447105547,4.278215038474408,1.7271077283372362
WcGAN-GP (DA)-KNN,7,7,5.895757868034902,4.171393510647947,17.400523820675808,3.7377751756440274
WcGAN-GP (DA)-KNN,7,8,7.072756440027087,5.024129052219463,25.241872733355635,3.8643091334894604
WcGAN-GP (DA)-KNN,7,9,3.9690527323073854,2.8065441019015482,7.8766897959183675,2.3185714285714276
WcGAN-GP (DA)-KNN,7,10,2.8409072809096587,2.136287293992955,4.563723402475743,1.8920023419203738
WcGAN-GP (DA)-KNN,7,11,0.8357142857142845,0.5909392385630426,0.34920918367346865,0.5464285714285709
WcGAN-GP (DA)-KNN,7,12,3.117514105858685,2.300228744061852,5.291052275008364,2.124976580796253
WcGAN-GP (DA)-KNN,7,13,1.833489480054193,1.2964728445805167,1.680841836734697,1.2964285714285726
WcGAN-GP (DA)-KNN,7,14,6.6789116207044135,4.761132655007783,22.66838415858146,4.486896955503514
WcGAN-GP (DA)-KNN,7,15,6.235785496558247,4.511357430772176,20.352345868183335,3.8640983606557366
WcGAN-GP (DA)-KNN,7,16,7.003764949924578,5.005898407797249,25.059018869187028,4.167049180327869
WcGAN-GP (DA)-RF,7,0,4.531179709400331,3.4229532255064052,11.716608784004704,2.8175318501170996
WcGAN-GP (DA)-RF,7,1,6.444826257385025,4.76177036778621,22.674457035526814,4.210835128805614
WcGAN-GP (DA)-RF,7,2,6.671877109424702,4.717729547317507,22.256972081632654,4.717714285714287
WcGAN-GP (DA)-RF,7,3,4.538088125604936,3.4200436070783438,11.696698274317448,2.7410160421545693
WcGAN-GP (DA)-RF,7,4,3.687101159976303,2.927541383391579,8.570498551470282,2.299524238875865
WcGAN-GP (DA)-RF,7,5,1.0848960662154574,0.7671373653035595,0.5884997372448868,0.7638214285714209
WcGAN-GP (DA)-RF,7,6,1.7925426154816564,1.5175913819757303,2.303083602647007,1.1207197306791636
WcGAN-GP (DA)-RF,7,7,5.594588904983107,3.9565762688608865,15.654495771313135,2.9166944964871195
WcGAN-GP (DA)-RF,7,8,7.0268238508296355,4.979210744132406,24.792539634483582,4.389371794496486
WcGAN-GP (DA)-RF,7,9,3.5018914589719836,2.4762111976183423,6.131621895210465,2.4716732142857154
WcGAN-GP (DA)-RF,7,10,2.2841111246485117,1.7577854612299675,3.0898097277114496,1.4729777810304339
WcGAN-GP (DA)-RF,7,11,4.7402307688593375,3.3518493210495572,11.234893871020377,3.282171428571424
WcGAN-GP (DA)-RF,7,12,5.620516240300825,4.0618746642419925,16.498825788010997,3.3065940281030355
WcGAN-GP (DA)-RF,7,13,0.275106440347061,0.19452962951749928,0.03784177676021553,0.1857964285714595
WcGAN-GP (DA)-RF,7,14,6.504905832301458,4.672610246150723,21.833286512432714,4.48452277517565
WcGAN-GP (DA)-RF,7,15,6.917758935442698,5.053532264336226,25.538188346687228,4.582443618266976
WcGAN-GP (DA)-RF,7,16,7.6092000297785995,5.4435598153738205,29.632343463552658,5.132945989461353
cGAN (DA)-KNN,8,0,5.180456709887039,4.4552284327618565,19.849060388089672,3.4040515222482446
cGAN (DA)-KNN,8,1,3.6001835984148225,3.761194238674352,14.146582101037138,2.2028571428571424
cGAN (DA)-KNN,8,2,6.7005549572176415,4.73800784796173,22.448718367346938,4.491428571428571
cGAN (DA)-KNN,8,3,6.619929768375511,4.71714090140489,22.251418283706936,4.339355971896956
cGAN (DA)-KNN,8,4,4.945998745600078,3.5934772792064007,12.913078956172635,2.680046838407495
cGAN (DA)-KNN,8,5,5.563933419986334,3.9342950513427972,15.478677551020423,3.934285714285717
cGAN (DA)-KNN,8,6,2.524935014584396,2.0299318590267355,4.120623352291738,1.6618735362997652
cGAN (DA)-KNN,8,7,3.1879890023136843,2.2567335175619174,5.092846169287385,2.1991334894613583
cGAN (DA)-KNN,8,8,5.2632679666686295,3.9619290672293856,15.69688193375711,3.00112412177986
cGAN (DA)-KNN,8,9,3.9690527323073854,2.8065441019015482,7.8766897959183675,2.3185714285714276
cGAN (DA)-KNN,8,10,2.850578574539292,2.138029714610012,4.571171060555369,1.8998360655737696
cGAN (DA)-KNN,8,11,0.8357142857142845,0.5909392385630426,0.34920918367346865,0.5464285714285709
cGAN (DA)-KNN,8,12,3.332439392649425,2.52568818071751,6.379100786216125,2.1446487119437943
cGAN (DA)-KNN,8,13,1.833489480054193,1.2964728445805167,1.680841836734697,1.2964285714285726
cGAN (DA)-KNN,8,14,6.9900439432901305,4.987470257396783,24.87485956841753,4.7467798594847785
cGAN (DA)-KNN,8,15,6.312108892792303,4.5401937477726095,20.613359267313495,3.762822014051524
cGAN (DA)-KNN,8,16,6.97861332243015,4.983432083703686,24.834595332887265,4.167857142857143
cGAN (DA)-RF,8,0,5.171958161287409,3.7641982647411325,14.169188576280153,3.0827812060889968
cGAN (DA)-RF,8,1,6.0991515436525585,4.562923549114298,20.82027131506182,3.996039344262291
cGAN (DA)-RF,8,2,7.276966685399083,5.145592489714286,26.477122070204064,5.116285714285713
cGAN (DA)-RF,8,3,3.705134286911685,2.99709090476732,8.982553891438993,2.415801463700237
cGAN (DA)-RF,8,4,4.174278066864234,3.1885307323033456,10.166728230842908,2.3478421545667247
cGAN (DA)-RF,8,5,2.0409587595449468,1.4431757789963162,2.082756329081624,1.4028214285714249
cGAN (DA)-RF,8,6,2.129866797047586,1.7082084601774286,2.9179761434217415,1.3640813278243344
cGAN (DA)-RF,8,7,5.046432096710116,3.5712668474288063,12.753946895544086,2.7741894028103062
cGAN (DA)-RF,8,8,6.763176798257879,4.792485291698778,22.96791527114912,4.284572336065575
cGAN (DA)-RF,8,9,3.6491699342425354,2.580352806204964,6.658220604489832,2.5702714285714343
cGAN (DA)-RF,8,10,2.342191995468162,1.7964033317010806,3.2270649301467427,1.5574080210772725
cGAN (DA)-RF,8,11,3.947757960681303,2.791486424480925,7.792396458061299,2.44202142857144
cGAN (DA)-RF,8,12,5.184127118481298,3.6997881594207787,13.688432424590193,3.083133021077283
cGAN (DA)-RF,8,13,0.5161041067261825,0.3649407136643094,0.13318172448981547,0.36432857142859865
cGAN (DA)-RF,8,14,6.354834048856379,4.552226893847626,20.722769693069605,4.390680210772835
cGAN (DA)-RF,8,15,7.840075251859589,5.628655808837206,31.681766214356827,5.120037119437941
cGAN (DA)-RF,8,16,7.081940919282155,5.051166763653521,25.51428567423799,4.7846181498829
WcGAN (DA)-KNN,8,0,5.1408576302125235,4.358848305230336,18.999558548009375,3.3879625292740054
WcGAN (DA)-KNN,8,1,3.533174586214425,3.7010844011446324,13.698025744396121,2.1922131147540984
WcGAN (DA)-KNN,8,2,6.722165740659627,4.7532889794803115,22.593756122448983,4.750714285714286
WcGAN (DA)-KNN,8,3,6.61085169122478,4.713029276895191,22.212644964871203,4.352107728337237
WcGAN (DA)-KNN,8,4,4.945998745600078,3.5934772792064007,12.913078956172635,2.680046838407495
WcGAN (DA)-KNN,8,5,5.563933419986334,3.9342950513427972,15.478677551020423,3.934285714285717
WcGAN (DA)-KNN,8,6,2.4943651372573754,2.016882003089443,4.0678130143860844,1.6367915690866508
WcGAN (DA)-KNN,8,7,3.364268095699789,2.3809047989000365,5.668707661425223,2.3066276346604218
WcGAN (DA)-KNN,8,8,5.417102288798604,4.036855141226634,16.29619943124791,3.078758782201405
WcGAN (DA)-KNN,8,9,3.9690527323073854,2.8065441019015482,7.8766897959183675,2.3185714285714276
WcGAN (DA)-KNN,8,10,2.8460108836563336,2.1367643827605147,4.565762027433924,1.8966042154566736
WcGAN (DA)-KNN,8,11,0.8357142857142845,0.5909392385630426,0.34920918367346865,0.5464285714285709
